#Offline_Tubes: 333,346,349,352,431,444
#Dead_Tubes: 337,342,345,416,445
#Sinusoidal_Tubes
#Channelkey,SPE_Gain
332,0.001345
334,0.001421
335,0.001375
336,0.001222
338,0.001387
339,0.001038
340,0.001248
341,0.001543
343,0.000267
344,0.001334
347,0.001570
348,0.001478
350,0.001290
351,0.001455
353,0.000380
354,0.001767
355,0.001198
356,0.000478
357,0.001922
358,0.000923
359,0.000281
360,0.001380
361,0.000748
362,0.001344
363,0.001367
364,0.001223
365,0.001003
366,0.000631
367,0.001649
368,0.001776
369,0.000722
370,0.001148
371,0.001657
372,0.001653
373,0.001443
374,0.001435
375,0.001382
376,0.001476
377,0.001466
378,0.001382
379,0.001521
380,0.001265
381,0.001465
382,0.001248
383,0.001465
384,0.001618
385,0.001540
386,0.001438
387,0.001528
388,0.001353
389,0.001616
390,0.001268
391,0.001271
392,0.001406
393,0.001628
394,0.001487
395,0.001701
396,0.001678
397,0.001547
398,0.001368
399,0.001428
400,0.001328
401,0.001480
402,0.001311
403,0.001130
404,0.001569
405,0.000906
406,0.001542
407,0.001491
408,0.001396
409,0.001414
410,0.001386
411,0.001278
412,0.001401
413,0.001499
414,0.001488
415,0.001217
417,0.001468
418,0.001457
419,0.001248
420,0.001744
421,0.001398
422,0.001409
423,0.001324
424,0.001548
425,0.001455
426,0.001274
427,0.001316
428,0.001420
429,0.001338
430,0.001515
432,0.001307
433,0.001279
434,0.001357
435,0.001416
436,0.001345
437,0.001448
438,0.001350
439,0.001398
440,0.001487
441,0.001459
442,0.001291
443,0.001236
446,0.001495
447,0.001373
448,0.001353
449,0.001375
450,0.001321
451,0.001302
452,0.001618
453,0.001466
454,0.001241
455,0.001388
456,0.001535
457,0.001650
458,0.001478
459,0.001360
460,0.001463
461,0.001375
462,0.001420
463,0.001396
