LEGEND_LINE,,,,,,,,,,,,,,,,,,,,,,,,,
detector_num,channel_num,detector_tank_location,panel_number,x_pos,y_pos,z_pos,x_dir,y_dir,z_dir,PMT_type,cable_label,detector_status,sb_num,sb_channel,hv_crate,hv_slot,hv_channel,signal_crate,signal_slot,signal_channel,mt_crate,mt_slot,mt_channel,nominal_HV,notes
,,,,,,,,,,,,,,,,,,,,,,,,,
DATA_START,,,,,,,,,,,,,,,,,,,,,,,,,
1,1,Bottom,0-0-0-3,0,-1.77609,3,0,1,0,SK,T3M03M02A,ON,1,1,1,5,0,1,3,0,-999,-999,-999,1580,
2,2,Bottom,0-0-0-2,0,-1.77609,2,0,1,0,SK,B2M06P05A,ON,1,2,1,5,1,1,3,1,-999,-999,-999,1700,
3,3,Bottom,0-0-0-1,0,-1.77609,1,0,1,0,SK,W1M03P09A,ON,1,3,1,5,2,1,3,2,-999,-999,-999,1700,
4,4,Bottom,0-1-0-0,1,-1.77609,0,0,1,0,SK,W1M05P08B,ON,1,4,1,5,3,1,3,3,-999,-999,-999,1700,
5,5,Bottom,0-2-0-0,2,-1.77609,0,0,1,0,SK,M2M6B,ON,1,5,1,5,4,1,4,0,-999,-999,-999,1720,
6,6,Bottom,0-3-0-0,3,-1.77609,0,0,1,0,SK,W1M08P08B,OFF,1,6,1,5,5,1,4,1,-999,-999,-999,1600,dead
7,7,Bottom,0-4-0-0,4,-1.77609,0,0,1,0,SK,SA1919,ON,1,7,1,5,6,1,4,2,-999,-999,-999,1680,
8,8,Bottom,0-5-0-0,5,-1.77609,0,0,1,0,SK,B4P01M01A,ON,1,8,1,5,7,1,4,3,-999,-999,-999,1600,
9,9,Bottom,0-6-0-0,6,-1.77609,0,0,1,0,SK,SA1966,ON,1,9,1,5,8,1,5,0,-999,-999,-999,1700,
10,10,Bottom,0-7-0-1,7,-1.77609,1,0,1,0,SK,9011,ON,1,10,1,5,9,1,5,1,-999,-999,-999,1690,
11,11,Bottom,0-7-0-2,7,-1.77609,2,0,1,0,SK,W4P03P34A,ON,1,11,1,5,10,1,5,2,-999,-999,-999,1670,
12,12,Bottom,0-7-0-3,7,-1.77609,3,0,1,0,SK,9007,ON,1,12,1,5,11,1,5,3,-999,-999,-999,1800,
13,13,Bottom,0-1-0-1,1,-1.77609,1,0,1,0,SK,W2M02P11A,ON,2,1,1,5,12,1,6,0,-999,-999,-999,1740,
14,14,Bottom,0-2-0-1,2,-1.77609,1,0,1,0,SK,W3M8P23A,ON,2,2,1,5,13,1,6,1,-999,-999,-999,1500,
15,15,Bottom,0-2-0-2,2,-1.77609,2,0,1,0,SK,B4P01M03B,ON,2,3,1,5,14,1,6,2,-999,-999,-999,1710,
16,16,Bottom,0-1-0-2,1,-1.77609,2,0,1,0,SK,1610V,ON,2,4,1,5,15,1,6,3,-999,-999,-999,1650,
17,17,Bottom,0-3-0-1,3,-1.77609,1,0,1,0,SK,W2M05P12B,ON,2,5,1,6,0,1,8,0,-999,-999,-999,1700,
18,18,Bottom,0-4-0-1,4,-1.77609,1,0,1,0,SK,1710V,ON,2,6,1,6,1,1,8,1,-999,-999,-999,1710,
19,19,Bottom,0-4-0-2,4,-1.77609,2,0,1,0,SK,T4P03M03B,OFF,2,7,1,6,2,1,8,2,-999,-999,-999,1640,dead
20,20,Bottom,0-3-0-2,3,-1.77609,2,0,1,0,SK,B2M03P01B,ON,2,8,1,6,3,1,8,3,-999,-999,-999,1620,
21,21,Bottom,0-5-0-1,5,-1.77609,1,0,1,0,SK,W3M08P29A,ON,2,9,1,6,4,1,9,0,-999,-999,-999,1440,
22,22,Bottom,0-6-0-1,6,-1.77609,1,0,1,0,SK,SA1959,ON,2,10,1,6,5,1,9,1,-999,-999,-999,1810,
23,23,Bottom,0-6-0-2,6,-1.77609,2,0,1,0,SK,B2M06P02B,ON,2,11,1,6,6,1,9,2,-999,-999,-999,1550,
24,24,Bottom,0-5-0-2,5,-1.77609,2,0,1,0,SK,1620V,ON,2,12,1,6,7,1,9,3,-999,-999,-999,1590,
25,25,Bottom,0-1-0-3,1,-1.77609,3,0,1,0,SK,SA2053,ON,3,1,1,6,8,1,10,0,-999,-999,-999,1670,
26,26,Bottom,0-2-0-3,2,-1.77609,3,0,1,0,SK,9004,ON,3,2,1,6,9,1,10,1,-999,-999,-999,1610,
27,27,Bottom,0-2-0-4,2,-1.77609,4,0,1,0,SK,W1P05P03B,ON,3,3,1,6,10,1,10,2,-999,-999,-999,1820,
28,28,Bottom,0-1-0-4,1,-1.77609,4,0,1,0,SK,W4M02P34A,ON,3,4,1,6,11,1,10,3,-999,-999,-999,1560,
29,29,Bottom,0-3-0-3,3,-1.77609,3,0,1,0,SK,SA1983,ON,3,5,1,6,12,1,11,0,-999,-999,-999,1560,
30,30,Bottom,0-4-0-3,4,-1.77609,3,0,1,0,SK,SA2002,ON,3,6,1,6,13,1,11,1,-999,-999,-999,1550,
31,31,Bottom,0-4-0-4,4,-1.77609,4,0,1,0,SK,9003,ON,3,7,1,6,14,1,11,2,-999,-999,-999,1690,
32,32,Bottom,0-3-0-4,3,-1.77609,4,0,1,0,SK,140701,ON,3,8,1,6,15,1,11,3,-999,-999,-999,1600,
33,33,Bottom,0-5-0-3,5,-1.77609,3,0,1,0,SK,Q4AP3M4,ON,3,9,1,7,0,1,13,0,-999,-999,-999,1550,
34,34,Bottom,0-6-0-3,6,-1.77609,3,0,1,0,SK,140721,ON,3,10,1,7,1,1,13,1,-999,-999,-999,1770,
35,35,Bottom,0-6-0-4,6,-1.77609,4,0,1,0,SK,B2M02P02B,ON,3,11,1,7,2,1,13,2,-999,-999,-999,1580,
36,36,Bottom,0-5-0-4,5,-1.77609,4,0,1,0,SK,W3P03P23A,ON,3,12,1,7,3,1,13,3,-999,-999,-999,1450,
37,37,Bottom,0-1-0-5,1,-1.77609,5,0,1,0,SK,B4P02M06B,OFF,4,1,1,7,4,1,14,0,-999,-999,-999,1830,dead
38,38,Bottom,0-2-0-5,2,-1.77609,5,0,1,0,SK,9005,ON,4,2,1,7,5,1,14,1,-999,-999,-999,1550,
39,39,Bottom,0-2-0-6,2,-1.77609,6,0,1,0,SK,W3M07P25B,ON,4,3,1,7,6,1,14,2,-999,-999,-999,1690,
40,40,Bottom,0-1-0-6,1,-1.77609,6,0,1,0,SK,W2M04P12A,ON,4,4,1,7,7,1,14,3,-999,-999,-999,1770,
41,41,Bottom,0-3-0-5,3,-1.77609,5,0,1,0,SK,B2M01P04B,ON,4,5,1,7,8,1,15,0,-999,-999,-999,1600,
42,42,Bottom,0-4-0-5,4,-1.77609,5,0,1,0,SK,B4P02M01A,ON,4,6,1,7,9,1,15,1,-999,-999,-999,1600,
43,43,Bottom,0-4-0-6,4,-1.77609,6,0,1,0,SK,W3M07P24B,ON,4,7,1,7,10,1,15,2,-999,-999,-999,1680,
44,44,Bottom,0-3-0-6,3,-1.77609,6,0,1,0,SK,140804,ON,4,8,1,7,11,1,15,3,-999,-999,-999,1600,
45,45,Bottom,0-5-0-5,5,-1.77609,5,0,1,0,SK,B2M05P04A,ON,4,9,1,7,12,1,16,0,-999,-999,-999,1670,
46,46,Bottom,0-6-0-5,6,-1.77609,5,0,1,0,SK,B1P06P04A,ON,4,10,1,7,13,1,16,1,-999,-999,-999,1600,
47,47,Bottom,0-6-0-6,6,-1.77609,6,0,1,0,SK,W2M02P15B,ON,4,11,1,7,14,1,16,2,-999,-999,-999,1740,
48,48,Bottom,0-5-0-6,5,-1.77609,6,0,1,0,SK,1740V,ON,4,12,1,7,15,1,16,3,-999,-999,-999,1650,
49,49,Bottom,0-0-0-4,0,-1.77609,4,0,1,0,SK,W4P01P34B,OFF,5,1,1,8,0,1,18,0,-999,-999,-999,1600,dead
50,50,Bottom,0-0-0-5,0,-1.77609,5,0,1,0,SK,SA1884,ON,5,2,1,8,1,1,18,1,-999,-999,-999,1750,
51,51,Bottom,0-0-0-6,0,-1.77609,6,0,1,0,SK,9008,OFF,5,3,1,8,2,1,18,2,-999,-999,-999,1670,bad cable/PMT??
52,52,Bottom,0-1-0-7,1,-1.77609,7,0,1,0,SK,W3M02P22B,ON,5,4,1,8,3,1,18,3,-999,-999,-999,1720,
53,53,Bottom,0-2-0-7,2,-1.77609,7,0,1,0,SK,W4M01P34A,ON,5,5,1,8,4,1,19,0,-999,-999,-999,1510,
54,54,Bottom,0-3-0-7,3,-1.77609,7,0,1,0,SK,W4P05P33B,ON,5,6,1,8,5,1,19,1,-999,-999,-999,1570,
55,55,Bottom,0-4-0-7,4,-1.77609,7,0,1,0,SK,SA1622,ON,5,7,1,8,6,1,19,2,-999,-999,-999,1800,
56,56,Bottom,0-5-0-7,5,-1.77609,7,0,1,0,SK,W4M03P36B,ON,5,8,1,8,7,1,19,3,-999,-999,-999,1700,
57,57,Bottom,0-6-0-7,6,-1.77609,7,0,1,0,SK,1773V,ON,5,9,1,8,8,1,20,0,-999,-999,-999,1710,
58,58,Bottom,0-7-0-6,7,-1.77609,6,0,1,0,SK,B2M01P05B,ON,5,10,1,8,9,1,20,1,-999,-999,-999,1700,
59,59,Bottom,0-7-0-5,7,-1.77609,5,0,1,0,SK,B4P02M02A,ON,5,11,1,8,10,1,20,2,-999,-999,-999,1600,
60,60,Bottom,0-7-0-4,7,-1.77609,4,0,1,0,SK,B2M02P01B,ON,5,12,1,8,11,1,20,3,-999,-999,-999,1600,
61,61,Unknown,0-0-0-0,-1,-1,-1,0,0,0,Unknown,Unknown,OFF,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,what was this channel
62,62,Unknown,0-0-0-0,-2,-2,-2,0,0,0,Unknown,Unknown,OFF,-1,-2,-1,-1,-2,-1,-1,-2,-1,-1,-2,-1,what was this channel
63,63,Unknown,0-0-0-0,-3,-3,-3,0,0,0,Unknown,Unknown,OFF,-1,-3,-1,-1,-3,-1,-1,-3,-1,-1,-3,-1,what was this channel
64,64,Unknown,0-0-0-0,-4,-4,-4,0,0,0,Unknown,Unknown,OFF,-1,-4,-1,-1,-4,-1,-1,-4,-1,-1,-4,-1,what was this channel
DATA_END,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: X, Z POSITIONS ARE GRID POSITIONS, NOT IN METERS",,,,,,,,,,,,,,,,,,,,,,,,,
